experiment,env,seed,horizon,model,one_step_rmse,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
nonlinear_dynamics,nonlinear_chain_target,0,500,DirectGraphNext,0.020890243902995282,1.1794798434865665,5.753542298971567,5.088994860148017,0.0
nonlinear_dynamics,nonlinear_chain_target,0,1,GraphEuler,0.020890243946163,0.008798755210756562,0.0021093192503370876,0.0021093192503370876,0.0
nonlinear_dynamics,nonlinear_chain_target,0,10,GraphEuler,0.020890243946163,0.07818695423616383,0.1446813445943586,0.1438452608080772,0.0
nonlinear_dynamics,nonlinear_chain_target,0,25,GraphEuler,0.020890243946163,0.12259034941747994,0.2893538328513941,0.17909813240176442,0.0
nonlinear_dynamics,nonlinear_chain_target,0,50,GraphEuler,0.020890243946163,0.207137378232397,0.38368627408462325,0.34139794937287143,0.0
nonlinear_dynamics,nonlinear_chain_target,0,100,GraphEuler,0.020890243946163,0.4084353174125574,0.5465401526299073,0.5212019629143868,0.0
nonlinear_dynamics,nonlinear_chain_target,0,250,GraphEuler,0.020890243946163,0.8495076751952322,1.559266824551295,1.5293760412177821,0.0
nonlinear_dynamics,nonlinear_chain_target,0,500,GraphEuler,0.020890243946163,1.1794826709498805,5.753568033500696,5.089025164307652,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,1,SG-PolyHam+Symp,1.8753209489693593e-10,1.0502839238415673e-10,0.00016351667429636793,0.00016351667429636793,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,10,SG-PolyHam+Symp,1.8753209489693593e-10,8.147626940631712e-10,0.0019617348992690934,0.001759794273944298,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,25,SG-PolyHam+Symp,1.8753209489693593e-10,1.5764851329337913e-09,0.001394262491001082,0.000669530852426066,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,50,SG-PolyHam+Symp,1.8753209489693593e-10,2.536908138025784e-09,0.0014244590706940583,0.0006870618171263765,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,100,SG-PolyHam+Symp,1.8753209489693593e-10,4.440889446962278e-09,0.0024468449471066207,0.0016314009021653319,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,250,SG-PolyHam+Symp,1.8753209489693593e-10,1.2149769531455262e-08,0.0018502751341409832,0.0014034796003860534,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,500,SG-PolyHam+Symp,1.8753209489693593e-10,2.4246034255741182e-08,0.002161992006586769,0.0015370838562938933,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,1,DirectGraphNext,0.07185883414021565,0.027895282577683922,0.00861047489581235,0.00861047489581235,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,10,DirectGraphNext,0.07185883414021565,0.2142139899608921,0.23690085781263973,0.22737109123385593,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,25,DirectGraphNext,0.07185883414021565,0.2806765009276157,0.35326994975991327,0.10022451300990265,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,50,DirectGraphNext,0.07185883414021565,0.503396559419588,0.33480893474393153,0.1380502054421198,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,100,DirectGraphNext,0.07185883414021565,1.0174285297110204,0.38105493886778485,0.2173573551060665,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,250,DirectGraphNext,0.07185883414021565,1.4677536989224718,0.5708337303183544,0.464711940270569,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,500,DirectGraphNext,0.07185883414021565,1.6839334558213812,1.0372541322590731,0.8134070718342757,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,1,GraphEuler,0.0718588341870547,0.02789528228376804,0.008610473752859435,0.008610473752859435,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,10,GraphEuler,0.0718588341870547,0.21421398856306983,0.23690088707692017,0.22737112006862234,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,1,25,GraphEuler,0.0718588341870547,0.2806765236273788,0.35327005341146545,0.10022468586379756,0.0
