experiment,env,seed,budget,model,planning_horizon,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
planning_horizon,coupled_oscillator_stabilization,3,512,GraphEuler,10,-43.930807911638816,6.55974093613509,0.2092857035545034,0.03490675416126742,0.0002646546753573749,2.164367277805912,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,GraphEuler,20,-50.46785813685306,11.595077197061922,0.31471559422224954,0.10642598222964172,0.0016520283467530799,2.8329317340706837,0.0
planning_horizon,coupled_oscillator_stabilization,3,512,GraphEuler,30,-44.219851672742,9.105339744660837,0.36701504395664447,0.11441035956261476,0.00031190532265767956,3.962914427355177,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,1,-31.264606797110634,5.957135769613954,0.25966141073321336,0.048763467615557284,-1.3613143945434558e-10,0.338874211679663,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,5,-40.303057527794515,9.074012950226326,0.17922773085343227,0.04740638872885815,-1.2577046071271525e-09,1.0280086789488883,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,10,-34.3983818485801,6.303554225331293,0.16690898025539017,0.02169352437713881,-2.5866846442568203e-09,1.615912999609438,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,20,-40.49964734856592,7.780499957811122,0.23726094362311104,0.08548445939181878,-1.722566385827425e-09,2.8971564285359075,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,SG-Ham+Symp,30,-41.16016354837158,12.289699884462125,0.3363558748673954,0.1686898061996506,2.470885126134211e-09,3.7203286668568225,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,DirectGraphNext,1,-31.2688345903761,5.95670916764151,0.2602669445945251,0.04879931506252559,1.5398789969811588e-06,0.33888037129874854,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,DirectGraphNext,5,-40.305195737266246,9.073222838814422,0.18170952781979807,0.04779298276354401,2.8482825886004073e-06,1.028000505138668,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,DirectGraphNext,10,-34.403322711995834,6.312669222742569,0.16850938844649513,0.022298688351413732,0.00023117637499951252,1.616063899404154,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,DirectGraphNext,20,-40.49472706334573,7.840224199893024,0.2399242990384677,0.08813036339008665,0.000736955590896334,2.897477489768183,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,DirectGraphNext,30,-41.19773518083648,12.280199086323842,0.3366268382916034,0.1687542169057116,0.003247952640055137,3.7211066533246755,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,GraphEuler,1,-31.2688345903761,5.95670916764151,0.2602669445945251,0.04879931506252559,1.531864333714772e-06,0.33888033962690534,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,GraphEuler,5,-40.305195737266246,9.073222838814422,0.18170952781979807,0.04779298276354401,2.7224219648995054e-06,1.028000368041688,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,GraphEuler,10,-34.403322711995834,6.312669222742569,0.16850938844649513,0.022298688351413732,0.00023080682499794966,1.6160636702373143,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,GraphEuler,20,-40.49472706334573,7.840224199893024,0.2399242990384677,0.08813036339008665,0.0007356729437327422,2.897477074249452,0.0
planning_horizon,coupled_oscillator_stabilization,4,512,GraphEuler,30,-41.19773518083648,12.280199086323842,0.3366268382916034,0.1687542169057116,0.003245292318849143,3.721106075805562,0.0
