experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,harmonic_oscillator,0,100,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,2.474229190643698e-08,0.0005274169021721628,0.00041057063931898883,0.0
dynamics_rollout,harmonic_oscillator,0,250,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,5.477538546728098e-08,0.0005241575957764316,2.5311688607356837e-05,0.0
dynamics_rollout,harmonic_oscillator,0,500,SympNoGraph,9.391364982829782e-10,6.972417525306178e-12,9.12387168346646e-08,0.0005168447349654307,4.98622126787061e-05,0.0
dynamics_rollout,harmonic_oscillator,0,1,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.9054114593283902e-08,1.8740939115278032e-05,1.8740939115278032e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.3743239267401636e-07,0.00017371737312541985,0.0001730170390067487,0.0
dynamics_rollout,harmonic_oscillator,0,25,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,3.5308315698124267e-07,0.00044620584018085233,0.00040995708665290693,0.0
dynamics_rollout,harmonic_oscillator,0,50,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,7.613302893793454e-07,0.0005331347154402181,0.00021954117173403473,0.0
dynamics_rollout,harmonic_oscillator,0,100,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,1.4669722072948737e-06,0.0005308756574190508,0.0004137631938998072,0.0
dynamics_rollout,harmonic_oscillator,0,250,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,3.2776529924778707e-06,0.0005341597514372061,2.3869042527521145e-05,0.0
dynamics_rollout,harmonic_oscillator,0,500,DenseLinearNext,2.5990007312129552e-08,9.1750821204793e-08,5.40205438468371e-06,0.0005321570872138267,5.1062986759181465e-05,0.0
dynamics_rollout,spring_mass_chain,0,1,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,8.077001756895417e-11,2.8576890660888756e-05,2.8576890660888756e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,6.119532008268758e-10,0.0004227392079997521,0.00040738094438078797,0.0
dynamics_rollout,spring_mass_chain,0,25,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,1.3075886301618273e-09,0.0007627166660172007,0.0006073848823133963,0.0
dynamics_rollout,spring_mass_chain,0,50,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,1.9516091633509017e-09,0.0008492413862774111,0.00043099356842686803,0.0
dynamics_rollout,spring_mass_chain,0,100,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,3.4249835030257727e-09,0.0007923774180004506,0.0005471472475318708,0.0
dynamics_rollout,spring_mass_chain,0,250,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,9.135559048079264e-09,0.0008609226768811206,0.000370286536040507,0.0
dynamics_rollout,spring_mass_chain,0,500,SG-Ham+Symp,1.3305098560640827e-10,3.875009168513907e-11,1.654393539801141e-08,0.0008869827608793125,0.0004020694426332427,0.0
dynamics_rollout,spring_mass_chain,0,1,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,5.588328307292909e-06,2.9241124912216086e-05,2.9241124912216086e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,4.2611046844335156e-05,0.00042481139592439747,0.0004091558390446079,0.0
dynamics_rollout,spring_mass_chain,0,25,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,7.674900409143552e-05,0.000789009873920625,0.000633942288682982,0.0
dynamics_rollout,spring_mass_chain,0,50,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.00012588114361213696,0.0008737325237419461,0.00043401371467804967,0.0
dynamics_rollout,spring_mass_chain,0,100,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.00021256474262173705,0.0008024939225876943,0.0005480808843105807,0.0
dynamics_rollout,spring_mass_chain,0,250,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.0005312949956178757,0.0008973474817183335,0.0004189901653454295,0.0
dynamics_rollout,spring_mass_chain,0,500,DirectGraphNext,1.9197290291677025e-05,3.4900943775002497e-06,0.0010520080891474055,0.0009836887908247305,0.0005038717889968477,0.0
dynamics_rollout,spring_mass_chain,0,1,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,5.588301623211472e-06,2.9239807966707366e-05,2.9239807966707366e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,4.260899027089075e-05,0.0004247788632041996,0.00040912175599846,0.0
dynamics_rollout,spring_mass_chain,0,25,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,7.673041651995479e-05,0.000788903955629566,0.0006338111170146725,0.0
dynamics_rollout,spring_mass_chain,0,50,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.000125868906301367,0.0008736277338398975,0.0004338326066176204,0.0
dynamics_rollout,spring_mass_chain,0,100,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.00021253893565722072,0.0008023069994471467,0.0005478222708432268,0.0
dynamics_rollout,spring_mass_chain,0,250,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.0005312333312991591,0.0008966165049264403,0.00041764169839678323,0.0
dynamics_rollout,spring_mass_chain,0,500,GraphEuler,1.91973685165047e-05,3.4523247254042263e-06,0.0010518853658469656,0.0009819050320622662,0.0005014520473663588,0.0
dynamics_rollout,spring_mass_chain,0,1,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,0.01742476952979144,0.005818321547209164,0.005818321547209164,0.0
dynamics_rollout,spring_mass_chain,0,10,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,0.13526711487163406,0.0664132414563355,0.06529310777837573,0.0
dynamics_rollout,spring_mass_chain,0,25,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,0.22398841799202698,0.11384677397636019,0.1014005575912549,0.0
dynamics_rollout,spring_mass_chain,0,50,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,0.37055825045079427,0.12771489747730455,0.023149412303856906,0.0
